Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Thursday, Apr 5",NYM,H,ATL,W,1,0,,1-0,1,Tied,Ramirez,Hanson,Francisco,2:39,D,42080,1.09,1,,2012
2,"Saturday, Apr 7",NYM,H,ATL,W,4,2,,2-0,1,Tied,Dickey,Jurrjens,Francisco,2:53,D,39526,1.12,2,,2012
3,"Sunday, Apr 8",NYM,H,ATL,W,7,5,,3-0,1,up 1.0,Niese,Minor,Francisco,2:46,D,27855,1.14,3,,2012
4,"Monday, Apr 9",NYM,H,WSN,W-wo,4,3,,4-0,1,up 2.0,Rauch,Rodriguez,,3:18,N,23970,1.22,4,,2012
5,"Tuesday, Apr 10",NYM,H,WSN,L,2,6,,4-1,1,up 1.0,Detwiler,Gee,,3:22,N,26927,1.23,-1,,2012
6,"Wednesday, Apr 11",NYM,H,WSN,L,0,4,,4-2,1,Tied,Strasburg,Santana,,3:36,D,34614,1.24,-2,,2012
7,"Friday, Apr 13",NYM,A,PHI,W,5,2,,5-2,2,0.5,Dickey,Lee,,2:33,N,45429,1.16,1,,2012
8,"Saturday, Apr 14",NYM,A,PHI,W,5,0,,6-2,2,0.5,Niese,Worley,,2:41,D,45750,1.13,2,,2012
9,"Sunday, Apr 15",NYM,A,PHI,L,2,8,,6-3,2,0.5,Hamels,Ramirez,,3:02,D,45829,1.18,-1,,2012
10,"Monday, Apr 16",NYM,A,ATL,W,6,1,,7-3,2,0.5,Gee,Hanson,,2:24,N,16161,1.19,1,,2012
11,"Tuesday, Apr 17",NYM,A,ATL,L,3,9,,7-4,2,1.5,Delgado,Santana,,2:53,N,18732,1.21,-1,,2012
12,"Wednesday, Apr 18",NYM,A,ATL,L,6,14,,7-5,2,2.5,Martinez,Dickey,,3:17,D,17909,1.18,-2,,2012
13,"Friday, Apr 20",NYM,H,SFG,L,3,4,10,7-6,3,3.0,Romo,Francisco,Hensley,3:41,N,30544,1,-3,,2012
14,"Saturday, Apr 21",NYM,H,SFG,W-wo,5,4,,8-6,3,3.0,Rauch,Hensley,,2:55,D,33844,0.89,1,,2012
15,"Monday, Apr 23 (1)",NYM,H,SFG,L,1,6,,8-7,3,4.0,Lincecum,Batista,,3:12,D,NA,0.95,-1,2012-04-22 (Rain),2012
16,"Monday, Apr 23 (2)",NYM,H,SFG,L,2,7,,8-8,3,4.0,Bumgarner,Gee,,2:50,N,23866,0.94,-2,,2012
17,"Tuesday, Apr 24",NYM,H,MIA,W,2,1,,9-8,3,4.0,Rauch,Mujica,Francisco,2:55,N,20192,0.94,1,,2012
18,"Wednesday, Apr 25",NYM,H,MIA,W,5,1,,10-8,3,4.0,Dickey,Buehrle,,2:29,N,20623,0.98,2,,2012
19,"Thursday, Apr 26",NYM,H,MIA,W-wo,3,2,,11-8,3,3.0,Ramirez,Bell,,2:45,D,20660,0.97,3,,2012
20,"Friday, Apr 27",NYM,A,COL,L,9,18,,11-9,3,3.0,Reynolds,Acosta,,3:47,N,35103,1,-1,,2012
21,"Saturday, Apr 28",NYM,A,COL,W,7,5,,12-9,3,2.0,Gee,Moscoso,Francisco,2:58,N,38798,0.99,1,,2012
22,"Sunday, Apr 29",NYM,A,COL,W,6,5,11,13-9,3,1.0,Francisco,Belisle,Ramirez,4:01,D,36690,1.03,2,,2012
23,"Monday, Apr 30",NYM,A,HOU,L,3,4,,13-10,3,1.5,Rodriguez,Acosta,Myers,2:53,N,17536,1.05,-1,,2012
24,"Tuesday, May 1",NYM,A,HOU,L,3,6,,13-11,3,1.5,Happ,Niese,Myers,2:44,N,17958,1.06,-2,,2012
25,"Wednesday, May 2",NYM,A,HOU,L,1,8,,13-12,3,2.5,Rodriguez,Schwinden,,2:34,D,19442,1.01,-3,,2012
26,"Friday, May 4",NYM,H,ARI,L,4,5,,13-13,3,4.0,Ziegler,Rauch,Putz,3:09,N,26995,0.97,-4,,2012
27,"Saturday, May 5",NYM,H,ARI,W,4,3,,14-13,3,4.0,Santana,Corbin,Francisco,3:12,D,30253,0.9,1,,2012
28,"Sunday, May 6",NYM,H,ARI,W,3,1,,15-13,3,3.0,Dickey,Cahill,Francisco,2:16,D,29107,0.92,2,,2012
29,"Monday, May 7",NYM,A,PHI,W,5,2,,16-13,3,2.5,Byrdak,Papelbon,Francisco,3:02,N,44365,1.06,3,,2012
30,"Tuesday, May 8",NYM,A,PHI,W,7,4,,17-13,3,1.5,Acosta,Qualls,Rauch,3:18,N,43821,1.11,4,,2012
31,"Wednesday, May 9",NYM,A,PHI,W,10,6,,18-13,3,0.5,Byrdak,Kendrick,,2:56,N,43840,1.16,5,,2012
32,"Friday, May 11",NYM,A,MIA,L-wo,5,6,,18-14,3,2.0,Bell,Francisco,,3:07,N,31007,1.28,-1,,2012
33,"Saturday, May 12",NYM,A,MIA,W,9,3,,19-14,3,2.0,Dickey,Nolasco,,3:28,D,32128,1.24,1,,2012
34,"Sunday, May 13",NYM,A,MIA,L-wo,4,8,,19-15,3,2.5,Bell,Francisco,,3:18,D,26401,1.23,-1,,2012
35,"Monday, May 14",NYM,H,MIL,W,3,1,,20-15,3,2.0,Batista,Gallardo,Francisco,2:55,N,20061,1.07,1,,2012
36,"Tuesday, May 15",NYM,H,MIL,L,0,8,,20-16,3,2.5,Greinke,Gee,,2:42,N,22268,1.11,-1,,2012
37,"Wednesday, May 16",NYM,H,CIN,L,3,6,,20-17,3,3.0,Arredondo,Rauch,Marshall,2:51,N,22659,1.09,-2,,2012
38,"Thursday, May 17",NYM,H,CIN,W,9,4,,21-17,3,2.5,Parnell,Ondrusek,,3:24,D,29943,1.03,1,,2012
39,"Friday, May 18",NYM,A,TOR,L,5,14,,21-18,3,3.5,Romero,Niese,,2:53,N,26712,1.03,-1,,2012
40,"Saturday, May 19",NYM,A,TOR,L,0,2,,21-19,3,3.5,Morrow,Hefner,,2:12,D,34962,1.01,-2,,2012
41,"Sunday, May 20",NYM,A,TOR,W,6,5,,22-19,3,3.5,Gee,Alvarez,Francisco,3:15,D,41867,0.99,1,,2012
42,"Monday, May 21",NYM,A,PIT,L,4,5,,22-20,4,3.5,Hughes,Rauch,Hanrahan,3:00,N,14556,1.06,-1,,2012
43,"Tuesday, May 22",NYM,A,PIT,W,3,2,,23-20,4,3.0,Dickey,Cruz,Francisco,2:36,N,15794,0.99,1,,2012
44,"Wednesday, May 23",NYM,A,PIT,W,3,1,,24-20,3,2.0,Niese,Morton,Francisco,2:19,D,25731,1.03,2,,2012
45,"Thursday, May 24",NYM,H,SDP,L,5,11,,24-21,3,2.5,Stults,Hefner,,3:22,N,24109,1.12,-1,,2012
46,"Friday, May 25",NYM,H,SDP,W,6,1,,25-21,3,2.5,Gee,Bass,,2:31,N,24498,1.07,1,,2012
47,"Saturday, May 26",NYM,H,SDP,W,9,0,,26-21,2,2.5,Santana,Richard,,2:18,D,28745,1.08,2,,2012
48,"Sunday, May 27",NYM,H,SDP,W,2,0,,27-21,2,2.5,Dickey,Volquez,Francisco,2:36,D,28361,1.11,3,,2012
49,"Monday, May 28",NYM,H,PHI,L,4,8,,27-22,2,2.5,Hamels,Parnell,,3:03,D,32122,1.27,-1,,2012
50,"Tuesday, May 29",NYM,H,PHI,W,6,3,,28-22,2,1.5,Hefner,Blanton,Francisco,2:23,N,25487,1.28,1,,2012
51,"Wednesday, May 30",NYM,H,PHI,L,6,10,,28-23,3,1.5,Bastardo,Rauch,,3:13,N,30064,1.3,-1,,2012
52,"Friday, Jun 1",NYM,H,STL,W,8,0,,29-23,2,1.0,Santana,Wainwright,,2:35,N,27069,1.16,1,,2012
53,"Saturday, Jun 2",NYM,H,STL,W,5,0,,30-23,2,1.0,Dickey,Lynn,,2:34,D,27914,1.2,2,,2012
54,"Sunday, Jun 3",NYM,H,STL,W,6,1,,31-23,1,Tied,Niese,Westbrook,,3:01,N,23559,1.27,3,,2012
55,"Monday, Jun 4",NYM,H,STL,L,4,5,,31-24,3,0.5,Rzepczynski,Rauch,Motte,2:34,D,25830,1.3,-1,,2012
56,"Tuesday, Jun 5",NYM,A,WSN,L-wo,6,7,12,31-25,3,1.5,Detwiler,Ramirez,,4:15,N,26256,1.43,-2,,2012
57,"Wednesday, Jun 6",NYM,A,WSN,L,3,5,,31-26,4,2.5,Jackson,Hefner,Clippard,2:46,N,27335,1.41,-3,,2012
58,"Thursday, Jun 7",NYM,A,WSN,W,3,1,,32-26,3,1.5,Dickey,Wang,Francisco,2:47,D,32096,1.36,1,,2012
59,"Friday, Jun 8",NYM,A,NYY,L,1,9,,32-27,3,2.5,Kuroda,Santana,,2:40,N,48566,1.19,-1,,2012
60,"Saturday, Jun 9",NYM,A,NYY,L,2,4,,32-28,3,3.5,Hughes,Gee,Soriano,2:48,N,48575,1.1,-2,,2012
61,"Sunday, Jun 10",NYM,A,NYY,L-wo,4,5,,32-29,3,4.5,Logan,Rauch,,3:03,D,49010,1.05,-3,,2012
62,"Tuesday, Jun 12",NYM,A,TBR,W,11,2,,33-29,3,5.0,Young,Cobb,,3:18,N,17334,1.01,1,,2012
63,"Wednesday, Jun 13",NYM,A,TBR,W,9,1,,34-29,2,5.0,Dickey,Price,,2:35,N,18496,1.09,2,,2012
64,"Thursday, Jun 14",NYM,A,TBR,W,9,6,,35-29,2,4.5,Santana,Hellickson,Francisco,3:33,D,21947,1.11,3,,2012
65,"Friday, Jun 15",NYM,H,CIN,L,3,7,,35-30,3,4.5,Arroyo,Gee,,2:50,N,34716,1.26,-1,,2012
66,"Saturday, Jun 16",NYM,H,CIN,L,1,4,,35-31,3,4.5,Bailey,Niese,Chapman,2:38,N,27988,1.22,-2,,2012
67,"Sunday, Jun 17",NYM,H,CIN,L,1,3,,35-32,3,4.5,Cueto,Young,Marshall,2:53,D,40134,1.19,-3,,2012
68,"Monday, Jun 18",NYM,H,BAL,W,5,0,,36-32,2,4.0,Dickey,Arrieta,,2:07,N,29014,1.11,1,,2012
69,"Tuesday, Jun 19",NYM,H,BAL,W,5,0,,37-32,2,3.0,Santana,Hunter,,2:29,N,32587,1.21,2,,2012
70,"Wednesday, Jun 20",NYM,H,BAL,W,4,3,,38-32,2,3.0,Gee,Matusz,Francisco,2:57,N,29855,1.26,3,,2012
71,"Friday, Jun 22",NYM,H,NYY,W,6,4,,39-32,2,2.5,Niese,Pettitte,Francisco,2:53,N,40191,1.26,4,,2012
72,"Saturday, Jun 23",NYM,H,NYY,L,3,4,,39-33,2,3.5,Rapada,Rauch,Soriano,3:14,N,42122,1.29,-1,,2012
73,"Sunday, Jun 24",NYM,H,NYY,L,5,6,,39-34,2,3.5,Logan,Batista,Soriano,3:23,N,42364,1.24,-2,,2012
74,"Monday, Jun 25",NYM,A,CHC,L,1,6,,39-35,2,3.5,Wood,Santana,,2:41,N,34092,1.27,-3,,2012
75,"Tuesday, Jun 26",NYM,A,CHC,L,3,5,,39-36,3,4.5,Maine,Gee,Marmol,3:17,N,34064,1.21,-4,,2012
76,"Wednesday, Jun 27",NYM,A,CHC,W,17,1,,40-36,3,4.5,Niese,Samardzija,,2:47,D,35837,1.13,1,,2012
77,"Thursday, Jun 28",NYM,A,LAD,W,3,2,,41-36,2,3.5,Young,Capuano,Parnell,2:45,N,49006,1.21,2,,2012
78,"Friday, Jun 29",NYM,A,LAD,W,9,0,,42-36,2,3.5,Dickey,Harang,,3:06,N,49763,1.33,3,,2012
79,"Saturday, Jun 30",NYM,A,LAD,W,5,0,,43-36,2,2.5,Santana,Eovaldi,,2:49,D,44217,1.37,4,,2012
80,"Sunday, Jul 1",NYM,A,LAD,L,3,8,,43-37,2,3.5,Kershaw,Gee,,3:00,N,55359,1.47,-1,,2012
81,"Tuesday, Jul 3",NYM,H,PHI,W,11,1,,44-37,2,3.5,Niese,Worley,,2:38,N,42516,1.37,1,,2012
82,"Wednesday, Jul 4",NYM,H,PHI,L,2,9,,44-38,2,4.5,Lee,Young,,2:39,D,28687,1.34,-1,,2012
83,"Thursday, Jul 5",NYM,H,PHI,W-wo,6,5,,45-38,2,4.5,Parnell,Papelbon,,2:57,N,28409,1.34,1,,2012
84,"Friday, Jul 6",NYM,H,CHC,L,7,8,,45-39,2,4.5,Wood,Santana,,3:16,N,27956,1.28,-1,,2012
85,"Saturday, Jul 7",NYM,H,CHC,W,3,1,,46-39,2,4.5,Gee,Samardzija,Parnell,2:33,D,26096,1.26,1,,2012
86,"Sunday, Jul 8",NYM,H,CHC,L,0,7,,46-40,3,4.5,Dempster,Niese,,2:08,D,25920,1.34,-1,,2012
87,"Friday, Jul 13",NYM,A,ATL,L,5,7,,46-41,3,5.5,Martinez,Young,Kimbrel,3:41,N,37020,1.62,-2,,2012
88,"Saturday, Jul 14",NYM,A,ATL,L,7,8,,46-42,3,5.5,Varvaro,Parnell,Kimbrel,3:31,D,32565,1.45,-3,,2012
89,"Sunday, Jul 15",NYM,A,ATL,L,1,6,,46-43,3,6.5,Sheets,Santana,,2:40,D,23382,1.4,-4,,2012
90,"Tuesday, Jul 17",NYM,A,WSN,L-wo,4,5,10,46-44,3,7.0,Mattheus,Byrdak,,3:13,N,26342,1.39,-5,,2012
91,"Wednesday, Jul 18",NYM,A,WSN,L,3,4,,46-45,3,8.0,Zimmermann,Young,Clippard,2:56,N,31660,1.21,-6,,2012
92,"Thursday, Jul 19",NYM,A,WSN,W,9,5,,47-45,3,7.0,Dickey,Gonzalez,,3:01,D,36389,1.14,1,,2012
93,"Friday, Jul 20",NYM,H,LAD,L,6,7,,47-46,3,7.0,Harang,Santana,Jansen,3:41,N,30806,1.08,-1,,2012
94,"Saturday, Jul 21",NYM,H,LAD,L,5,8,,47-47,3,7.5,Capuano,Batista,Jansen,3:22,D,33503,0.97,-2,,2012
95,"Sunday, Jul 22",NYM,H,LAD,L,3,8,12,47-48,3,8.5,Wall,Ramirez,,4:43,D,31184,0.8,-3,,2012
96,"Monday, Jul 23",NYM,H,WSN,L,2,8,10,47-49,3,9.5,Gorzelanny,Byrdak,,3:14,N,26735,0.8,-4,,2012
97,"Tuesday, Jul 24",NYM,H,WSN,L,2,5,,47-50,3,10.5,Gonzalez,Dickey,Clippard,2:33,N,36236,0.69,-5,,2012
98,"Wednesday, Jul 25",NYM,H,WSN,L,2,5,,47-51,3,11.5,Strasburg,Hefner,Clippard,2:53,D,35517,0.5,-6,,2012
99,"Thursday, Jul 26",NYM,A,ARI,W,3,1,,48-51,3,11.5,Harvey,Miley,Parnell,3:19,N,22010,0.35,1,,2012
100,"Friday, Jul 27",NYM,A,ARI,L,5,11,,48-52,3,11.5,Collmenter,Niese,,2:36,N,23150,0.38,-1,,2012
101,"Saturday, Jul 28",NYM,A,ARI,L,3,6,,48-53,3,12.5,Kennedy,Young,Putz,2:59,N,33759,0.29,-2,,2012
102,"Sunday, Jul 29",NYM,A,ARI,W,5,1,,49-53,3,12.5,Dickey,Saunders,,2:39,D,32134,0.21,1,,2012
103,"Monday, Jul 30",NYM,A,SFG,W,8,7,10,50-53,3,12.0,Edgin,Casilla,Acosta,3:56,N,41300,0.26,2,,2012
104,"Tuesday, Jul 31",NYM,A,SFG,L,1,4,,50-54,3,12.0,Lincecum,Harvey,Affeldt,2:29,N,41774,0.32,-1,,2012
105,"Wednesday, Aug 1",NYM,A,SFG,W,2,1,,51-54,3,11.0,Niese,Cain,Parnell,2:59,N,42188,0.24,1,,2012
106,"Thursday, Aug 2",NYM,A,SFG,W,9,1,,52-54,3,11.0,Young,Zito,,2:46,D,41843,0.29,2,,2012
107,"Friday, Aug 3",NYM,A,SDP,L,1,3,,52-55,3,11.5,Richard,Dickey,Street,2:15,N,34573,0.31,-1,,2012
108,"Saturday, Aug 4",NYM,A,SDP,W,6,2,,53-55,3,11.5,Hefner,Volquez,Francisco,3:08,N,36826,0.25,1,,2012
109,"Sunday, Aug 5",NYM,A,SDP,L,3,7,,53-56,3,12.5,Marquis,Harvey,,2:27,D,24635,0.31,-1,,2012
110,"Tuesday, Aug 7",NYM,H,MIA,L,2,4,,53-57,3,14.0,Zambrano,Niese,Cishek,2:59,N,28968,0.18,-2,,2012
111,"Wednesday, Aug 8",NYM,H,MIA,L,0,13,,53-58,3,15.0,Eovaldi,Young,,3:07,N,26193,0.14,-3,,2012
112,"Thursday, Aug 9",NYM,H,MIA,W,6,1,,54-58,3,15.0,Dickey,Johnson,,2:37,D,28985,0.1,1,,2012
113,"Friday, Aug 10",NYM,H,ATL,L,0,4,,54-59,3,16.0,Maholm,Harvey,,2:24,N,25101,0.14,-1,,2012
114,"Saturday, Aug 11",NYM,H,ATL,L,3,9,,54-60,3,17.0,Medlen,Santana,,2:44,N,30388,0.11,-2,,2012
115,"Sunday, Aug 12",NYM,H,ATL,W,6,5,,55-60,3,16.0,Niese,Sheets,Rauch,2:46,N,24891,0.06,1,,2012
116,"Tuesday, Aug 14",NYM,A,CIN,L-wo,0,3,,55-61,3,16.5,Arredondo,Acosta,,3:17,N,26113,0.07,-1,,2012
117,"Wednesday, Aug 15",NYM,A,CIN,L,1,6,,55-62,3,17.5,Leake,Dickey,,2:21,N,26082,0.05,-2,,2012
118,"Thursday, Aug 16",NYM,A,CIN,W,8,4,,56-62,3,17.0,Harvey,Bailey,Rauch,2:56,N,23137,0.04,1,,2012
119,"Friday, Aug 17",NYM,A,WSN,L,4,6,,56-63,3,18.0,Detwiler,Santana,Clippard,2:42,N,34827,0.05,-1,,2012
120,"Saturday, Aug 18",NYM,A,WSN,W,2,0,,57-63,3,17.0,Niese,Jackson,Francisco,2:35,N,42662,0.03,1,,2012
121,"Sunday, Aug 19",NYM,A,WSN,L,2,5,,57-64,3,18.0,Gonzalez,Hefner,Clippard,2:53,D,33764,0.04,-1,,2012
122,"Monday, Aug 20",NYM,H,COL,L,1,3,,57-65,3,19.0,Brothers,Edgin,Betancourt,3:21,N,23833,0.03,-2,,2012
123,"Tuesday, Aug 21",NYM,H,COL,L,2,6,,57-66,3,20.0,Chacin,Young,,2:39,N,27633,0.02,-3,,2012
124,"Wednesday, Aug 22",NYM,H,COL,L,2,5,,57-67,3,20.0,Torres,Ramirez,Betancourt,3:15,N,22204,0.01,-4,,2012
125,"Thursday, Aug 23",NYM,H,COL,L,0,1,,57-68,4,20.5,Brothers,Parnell,Belisle,3:10,D,22544,0.01,-5,,2012
126,"Friday, Aug 24",NYM,H,HOU,L,1,3,,57-69,4,20.5,Lyles,Niese,Lopez,2:51,N,25513,0.01,-6,,2012
127,"Saturday, Aug 25",NYM,H,HOU,W,3,1,,58-69,4,19.5,Dickey,Abad,Francisco,2:47,D,29906,0,1,,2012
128,"Sunday, Aug 26",NYM,H,HOU,W-wo,2,1,,59-69,4,18.5,Parnell,Lopez,,2:19,D,25071,0,2,,2012
129,"Tuesday, Aug 28",NYM,A,PHI,W,9,5,10,60-69,4,17.5,Parnell,Rosenberg,,3:41,N,41227,0.01,3,,2012
130,"Wednesday, Aug 29",NYM,A,PHI,W,3,2,,61-69,3,17.5,Harvey,Cloyd,Francisco,2:59,N,42882,0.01,4,,2012
131,"Thursday, Aug 30",NYM,A,PHI,L,2,3,,61-70,4,18.5,Kendrick,Niese,Papelbon,2:25,D,43141,0.01,-1,,2012
132,"Friday, Aug 31",NYM,A,MIA,W,3,0,,62-70,4,18.5,Dickey,Eovaldi,,2:07,N,23099,0.01,1,,2012
133,"Saturday, Sep 1",NYM,A,MIA,W,5,3,,63-70,4,17.5,Ramirez,Cishek,Francisco,2:43,N,26402,0.02,2,,2012
134,"Sunday, Sep 2",NYM,A,MIA,W,5,1,,64-70,3,17.5,Young,Buehrle,,2:22,D,25333,0.02,3,,2012
135,"Monday, Sep 3",NYM,A,STL,L,4,5,,64-71,4,18.5,Kelly,McHugh,Motte,3:09,D,40952,0.04,-1,,2012
136,"Tuesday, Sep 4",NYM,A,STL,L,1,5,,64-72,4,19.5,Garcia,Harvey,,2:51,N,34108,0.02,-2,,2012
137,"Wednesday, Sep 5",NYM,A,STL,W,6,2,,65-72,4,19.5,Dickey,Wainwright,,2:45,D,30090,0.01,1,,2012
138,"Friday, Sep 7",NYM,H,ATL,L,0,3,,65-73,4,20.0,Maholm,Niese,Kimbrel,2:56,N,24071,0.01,-1,,2012
139,"Saturday, Sep 8",NYM,H,ATL,L,3,11,,65-74,4,21.0,Medlen,Hefner,,3:02,D,25603,0,-2,,2012
140,"Sunday, Sep 9",NYM,H,ATL,L,2,3,10,65-75,4,21.0,Kimbrel,Parnell,Moylan,3:17,D,23161,0,-3,,2012
141,"Monday, Sep 10",NYM,H,WSN,L,1,5,,65-76,4,22.0,Gonzalez,McHugh,,2:59,N,21923,0,-4,,2012
142,"Tuesday, Sep 11",NYM,H,WSN,L,3,5,,65-77,4,23.0,Gorzelanny,Dickey,Clippard,3:05,N,22596,0,-5,,2012
143,"Wednesday, Sep 12",NYM,H,WSN,L,0,2,,65-78,4,24.0,Lannan,Harvey,Storen,3:12,N,21205,0,-6,,2012
144,"Friday, Sep 14",NYM,A,MIL,W,7,3,,66-78,4,23.0,Niese,Fiers,,3:11,N,38216,0,1,,2012
145,"Saturday, Sep 15",NYM,A,MIL,L,6,9,,66-79,4,23.0,Kintzler,Mejia,,3:46,N,38108,0,-1,,2012
146,"Sunday, Sep 16",NYM,A,MIL,L,0,3,,66-80,4,23.0,Peralta,Young,Axford,2:20,D,38677,0,-2,,2012
147,"Monday, Sep 17",NYM,H,PHI,L,1,3,,66-81,4,23.5,Lee,Dickey,Papelbon,2:38,N,20527,0,-3,,2012
148,"Wednesday, Sep 19",NYM,H,PHI,L,2,3,,66-82,4,24.0,Horst,Edgin,Papelbon,3:18,N,21741,0,-4,,2012
149,"Thursday, Sep 20",NYM,H,PHI,L,1,16,,66-83,4,25.0,Cloyd,Hefner,,3:07,N,20010,0,-5,2012-09-18 (Rain),2012
150,"Friday, Sep 21",NYM,H,MIA,W,7,3,,67-83,4,24.0,Niese,Turner,,2:44,N,25446,0,1,,2012
151,"Saturday, Sep 22",NYM,H,MIA,W,4,3,,68-83,4,24.0,Dickey,Buehrle,Rauch,2:26,D,30332,0,2,,2012
152,"Sunday, Sep 23",NYM,H,MIA,W-wo,3,2,,69-83,4,23.0,Parnell,Webb,,3:03,D,26923,0,3,,2012
153,"Monday, Sep 24",NYM,H,PIT,W,6,2,,70-83,4,23.0,Mejia,McPherson,,3:14,N,22072,0,4,,2012
154,"Tuesday, Sep 25",NYM,H,PIT,L,6,10,,70-84,4,23.0,Rodriguez,McHugh,,3:26,N,25286,0,-1,,2012
155,"Wednesday, Sep 26",NYM,H,PIT,W,6,0,,71-84,4,23.0,Hefner,Locke,,2:35,N,22890,0,1,,2012
156,"Thursday, Sep 27",NYM,H,PIT,W,6,5,,72-84,4,23.0,Dickey,Correia,Parnell,2:46,D,31506,0,2,,2012
157,"Friday, Sep 28",NYM,A,ATL,W,3,1,,73-84,4,22.0,Niese,Hudson,Parnell,2:31,N,51910,0,3,,2012
158,"Saturday, Sep 29",NYM,A,ATL,L,0,2,,73-85,4,23.0,Minor,Young,Kimbrel,2:33,N,48310,0,-1,,2012
159,"Sunday, Sep 30",NYM,A,ATL,L,2,6,,73-86,4,23.0,Medlen,Mejia,Kimbrel,2:50,D,50635,0,-2,,2012
160,"Monday, Oct 1",NYM,A,MIA,L,2,3,,73-87,4,23.0,Bell,Ramirez,Cishek,3:16,N,24543,0,-3,,2012
161,"Tuesday, Oct 2",NYM,A,MIA,L-wo,3,4,11,73-88,4,24.0,Gaudin,McHugh,,3:30,N,29709,0,-4,,2012
162,"Wednesday, Oct 3",NYM,A,MIA,W,4,2,,74-88,4,24.0,Hefner,Koehler,Parnell,2:38,D,27418,0,1,,2012
1,"Monday, Apr 1",NYM,H,SDP,W,11,2,,1-0,1,Tied,Niese,Volquez,,3:01,D,41053,0.94,1,,2013
2,"Wednesday, Apr 3",NYM,H,SDP,W,8,4,,2-0,1,Tied,Harvey,Richard,,2:36,N,22239,1.01,2,,2013
3,"Thursday, Apr 4",NYM,H,SDP,L,1,2,,2-1,2,1.0,Stults,Gee,Street,3:17,D,21519,1.04,-1,,2013
4,"Friday, Apr 5",NYM,H,MIA,L,5,7,,2-2,3,1.0,Sanabia,Hefner,,3:31,N,24935,1.01,-2,,2013
5,"Saturday, Apr 6",NYM,H,MIA,W,7,3,,3-2,3,1.0,Lyon,Webb,,2:59,D,28474,1.06,1,,2013
6,"Sunday, Apr 7",NYM,H,MIA,W-wo,4,3,,4-2,2,1.0,Rice,Cishek,,3:38,D,29780,1.07,2,,2013
7,"Monday, Apr 8",NYM,A,PHI,W,7,2,,5-2,2,1.0,Harvey,Halladay,,2:55,N,35393,1.1,3,,2013
8,"Tuesday, Apr 9",NYM,A,PHI,L,3,8,,5-3,3,2.0,Lee,Gee,,2:29,N,38305,1.16,-1,,2013
9,"Wednesday, Apr 10",NYM,A,PHI,L,3,7,,5-4,3,3.0,Kendrick,Hefner,,2:55,N,38715,1.08,-2,,2013
10,"Friday, Apr 12",NYM,A,MIN,W,16,5,,6-4,3,3.0,Niese,Worley,,3:24,N,23735,0.94,1,,2013
11,"Saturday, Apr 13",NYM,A,MIN,W,4,2,,7-4,2,3.0,Harvey,Diamond,Parnell,2:40,D,28804,0.96,2,,2013
12,"Tuesday, Apr 16 (1)",NYM,A,COL,L,4,8,,7-5,3,5.0,Nicasio,Gee,,2:59,D,21510,1.06,-1,2013-04-15 (Snow),2013
13,"Tuesday, Apr 16 (2)",NYM,A,COL,L-wo,8,9,10,7-6,3,5.0,Betancourt,Burke,,4:19,N,20239,0.98,-2,,2013
14,"Thursday, Apr 18",NYM,A,COL,L,3,11,,7-7,3,5.5,Garland,Niese,,2:54,D,18341,0.98,-3,,2013
15,"Friday, Apr 19",NYM,H,WSN,W,7,1,,8-7,3,4.5,Harvey,Strasburg,,2:44,N,26675,0.98,1,,2013
16,"Saturday, Apr 20",NYM,H,WSN,L,6,7,,8-8,3,4.5,Clippard,Edgin,Soriano,3:20,D,24325,1.08,-1,,2013
17,"Sunday, Apr 21",NYM,H,WSN,W,2,0,,9-8,3,3.5,Gee,Zimmermann,Parnell,2:53,D,26225,1.09,1,,2013
18,"Tuesday, Apr 23",NYM,H,LAD,L,2,7,,9-9,2,5.0,Belisario,Lyon,,3:36,N,21135,1.02,-1,,2013
19,"Wednesday, Apr 24",NYM,H,LAD,W-wo,7,3,10,10-9,2,4.0,Parnell,Wall,,3:37,N,24130,0.93,1,,2013
20,"Thursday, Apr 25",NYM,H,LAD,L,2,3,,10-10,2,4.5,Jansen,Rice,League,2:59,D,24851,1,-1,,2013
21,"Friday, Apr 26",NYM,H,PHI,L,0,4,,10-11,3,4.5,Kendrick,Gee,,2:35,N,21582,0.97,-2,,2013
22,"Saturday, Apr 27",NYM,H,PHI,L,4,9,,10-12,3,4.5,Pettibone,Marcum,,3:03,D,29248,0.99,-3,,2013
23,"Sunday, Apr 28",NYM,H,PHI,L,1,5,,10-13,4,4.5,Hamels,Niese,,2:55,D,28990,0.94,-4,,2013
24,"Monday, Apr 29",NYM,A,MIA,L-wo,3,4,15,10-14,4,5.5,Rauch,Marcum,,5:31,N,15605,0.83,-5,,2013
25,"Tuesday, Apr 30",NYM,A,MIA,L-wo,1,2,,10-15,4,6.5,Webb,Hefner,,2:25,N,15018,0.75,-6,,2013
26,"Wednesday, May 1",NYM,A,MIA,W,7,6,,11-15,3,5.5,Gee,Ramos,Parnell,3:04,D,16188,0.72,1,,2013
27,"Friday, May 3",NYM,A,ATL,W,7,5,10,12-15,4,4.0,Parnell,Walden,Familia,3:29,N,30871,0.96,2,,2013
28,"Sunday, May 5",NYM,A,ATL,L,4,9,,12-16,3,5.0,Hudson,Niese,,3:05,D,32849,1.08,-1,,2013
