Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
100,"Saturday, Jul 21",MIA,A,TBR,W,3,2,,43-57,4,13.0,Lopez,Yarbrough,Barraclough,2:48,N,13808,0.03,4,,2018
101,"Sunday, Jul 22",MIA,A,TBR,L-wo,4,6,,43-58,4,13.5,Kolarek,Barraclough,,3:04,D,11828,0.04,-1,,2018
102,"Monday, Jul 23",MIA,H,ATL,L,1,12,,43-59,4,13.5,Newcomb,Urena,,2:48,N,8259,0.04,-2,,2018
103,"Tuesday, Jul 24",MIA,H,ATL,W,9,3,,44-59,4,13.5,Chen,Teheran,,2:37,D,21673,0.03,1,,2018
104,"Thursday, Jul 26",MIA,H,WSN,L,3,10,,44-60,5,15.0,Miller,Conley,,3:14,N,8506,0.02,-1,,2018
105,"Friday, Jul 27",MIA,H,WSN,L,1,9,,44-61,5,15.0,Scherzer,Lopez,,2:45,N,9297,0.02,-2,,2018
106,"Saturday, Jul 28",MIA,H,WSN,W-wo,2,1,10,45-61,4,14.0,Graves,Herrera,,3:26,N,11779,0.01,1,,2018
107,"Sunday, Jul 29",MIA,H,WSN,W,5,0,,46-61,4,13.0,Urena,Hellickson,,2:46,D,12112,0.02,2,,2018
108,"Monday, Jul 30",MIA,A,ATL,L,3,5,,46-62,5,13.0,Teheran,Chen,Minter,2:49,N,21230,0.03,-1,,2018
109,"Tuesday, Jul 31",MIA,A,ATL,L,6,11,,46-63,5,14.0,Allard,Straily,,2:53,N,18627,0.02,-2,,2018
110,"Thursday, Aug 2",MIA,A,PHI,L-wo,2,5,,46-64,4,15.0,Hunter,Barraclough,,2:37,N,26050,0.01,-3,,2018
111,"Friday, Aug 3",MIA,A,PHI,L,1,5,,46-65,4,16.0,Velasquez,Richards,Dominguez,3:10,N,33737,0,-4,,2018
112,"Saturday, Aug 4",MIA,A,PHI,L,3,8,,46-66,5,17.0,Eflin,Urena,,2:20,N,35194,0,-5,,2018
113,"Sunday, Aug 5",MIA,A,PHI,L,3,5,,46-67,5,18.0,Neshek,Steckenrider,Hunter,3:15,D,42343,0,-6,,2018
114,"Monday, Aug 6",MIA,H,STL,W,2,1,,47-67,5,17.0,Chen,Weaver,Guerra,3:04,N,8563,0,1,,2018
115,"Tuesday, Aug 7",MIA,H,STL,L,2,3,,47-68,5,18.0,Mikolas,Hernandez,Norris,2:34,N,7230,0,-1,,2018
116,"Wednesday, Aug 8",MIA,H,STL,L,1,7,,47-69,5,18.0,Gant,Richards,,2:42,N,7306,0,-2,,2018
117,"Friday, Aug 10",MIA,H,NYM,L,2,6,,47-70,5,18.0,Wheeler,Urena,,2:44,N,6993,0,-3,,2018
118,"Saturday, Aug 11",MIA,H,NYM,W-wo,4,3,11,48-70,5,18.0,Guerra,Rhame,,3:26,N,11478,0,1,,2018
119,"Sunday, Aug 12",MIA,H,NYM,L,3,4,,48-71,5,18.0,Syndergaard,Chen,Lugo,2:56,D,8964,0,-1,,2018
120,"Monday, Aug 13 (1)",MIA,A,ATL,L,1,9,,48-72,5,20.0,Toussaint,Lopez,,2:39,D,16049,0,-2,2018-08-01 (Rain),2018
121,"Monday, Aug 13 (2)",MIA,A,ATL,L,1,6,,48-73,5,20.0,Foltynewicz,Gonzalez,,2:58,N,18186,0,-3,,2018
122,"Tuesday, Aug 14",MIA,A,ATL,L,6,10,,48-74,5,21.0,Biddle,Conley,,2:52,N,19409,0,-4,,2018
123,"Wednesday, Aug 15",MIA,A,ATL,L,2,5,,48-75,5,22.0,Gausman,Garcia,Minter,2:50,N,19045,0,-5,,2018
124,"Friday, Aug 17",MIA,A,WSN,L,2,8,,48-76,5,21.5,Scherzer,Straily,,3:03,N,37106,0,-6,,2018
125,"Saturday, Aug 18",MIA,A,WSN,W,7,5,10,49-76,5,20.5,Steckenrider,Glover,Graves,3:37,N,30900,0,1,,2018
126,"Sunday, Aug 19",MIA,A,WSN,W,12,1,,50-76,5,19.5,Urena,Gonzalez,,2:40,D,31435,0,2,,2018
127,"Tuesday, Aug 21",MIA,H,NYY,L,1,2,12,50-77,5,21.0,Cole,Guerra,Kahnle,4:14,N,26275,0,-1,,2018
128,"Wednesday, Aug 22",MIA,H,NYY,W,9,3,,51-77,5,21.0,Garcia,Lynn,,3:25,N,25547,0,1,,2018
129,"Thursday, Aug 23",MIA,H,ATL,L,0,5,,51-78,5,22.0,Newcomb,Hernandez,,3:00,N,6587,0,-1,,2018
130,"Friday, Aug 24",MIA,H,ATL,W,1,0,,52-78,5,21.0,Straily,Foltynewicz,Conley,2:48,N,7792,0,1,,2018
